School ID,Name of School,"Elementary, Middle, or High School",CPS Performance Policy Status,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,Latitude,Longitude
610381,Bronzeville Scholastic Academy High School,HS,Probation,No,Average,41,38,Average,42,Average,43,Weak,32,Very Weak,15,Average,51,Weak,43,92.3,16.2,95.6,97.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,14.3,13.8,15.3,15.7,1.4,16.3,1,14.7,85.3,73.2,550,41.80456384,-87.62448408
610251,Willa Cather Elementary School,ES,Not on Probation,No,Strong,69,70,Strong,78,Very Strong,81,Strong,62,Very Strong,83,Strong,56,Average,53,94.9,29.5,96.4,100,62.7,44,42.9,27.1,54.3,72.5,36.1,21.3,45.5,38.2,0,5.3,20.3,20.9,2.7,2.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,234,41.882977,-87.69922315
609698,William J Bogan High School,HS,Probation,No,Weak,20,NDA,Very Weak,18,Weak,29,NDA,NDA,NDA,NDA,Weak,41,Weak,38,75.2,5.8,94.3,99.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,13.4,13.3,14.3,14.3,0.9,15.2,0.9,13.1,52.5,50,1656,41.74934817,-87.72109673
609712,Emil G Hirsch Metropolitan High School,HS,Probation,No,Very Weak,13,46,Weak,28,Weak,28,Average,52,Average,50,NDA,NDA,NDA,NDA,84.8,47.1,95.4,88,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,11.5,11.2,12.9,12.4,0.9,14.1,1.2,10.8,36.2,45.1,458,41.7537612,-87.60176452
610178,Theophilus Schmid Elementary School,ES,Not on Probation,No,Average,46,NDA,Weak,31,Average,53,NDA,NDA,NDA,NDA,Weak,41,Average,52,92.1,67.1,96.3,100,62.8,45.2,35.8,22.6,51.9,58.5,47.1,43.1,56.3,54.2,13.3,20,17.1,6.7,-0.4,-0.7,43.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,185,41.71701772,-87.59689622
609853,Salmon P Chase Elementary School,ES,Not on Probation,No,Average,55,28,Average,59,Weak,39,Weak,25,Weak,27,NDA,NDA,NDA,NDA,95.4,18.5,95.8,98.6,63,26.7,40.6,25,57.3,72.1,47.1,36.8,70.2,56.8,23.1,23.1,17.1,11,-0.6,0.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,504,41.91801539,-87.69454144
609773,Louis A Agassiz Elementary School,ES,Not on Probation,No,Average,53,NDA,Weak,23,Weak,21,NDA,NDA,NDA,NDA,Strong,56,Average,47,95.2,32.6,96.8,98.1,68.5,39,44.1,49.5,44.9,49.5,43.6,50,43.6,43.6,30,53.3,27.5,27.5,0.2,-0.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,432,41.93412004,-87.65619167
610143,William C Reavis Math & Science Specialty Elementary School,ES,Probation,No,Average,48,6,Weak,37,Weak,26,Very Weak,10,Very Weak,15,Weak,45,Average,47,93.5,37.2,94.8,98.2,47.2,NDA,31,29.5,43.5,51.9,19.1,23.4,38.5,48.4,3.2,16.1,5.8,10.1,-0.7,0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,311,41.80420101,-87.6049443
610057,Fairfield Elementary Academy,ES,Probation,No,Weak,31,24,Average,41,Weak,34,Average,45,Weak,25,NDA,NDA,NDA,NDA,93.4,43.4,93.3,98.6,49,36.8,15.9,11.1,27.3,42,20.5,17.8,44.7,35.8,0,12.5,4.1,4.3,0.1,-0.7,16.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,604,41.78086789,-87.69207758
609854,Frederic Chopin Elementary School,ES,Not on Probation,No,Very Strong,86,99,Very Strong,99,Very Strong,99,Very Strong,97,Very Strong,99,Average,49,Average,49,96.9,1.7,96,100,67.5,59.7,59.8,41.5,59.8,72,59.3,56.3,67.4,70.1,60.6,45.5,57.6,47.6,3.1,4.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,269,41.89674048,-87.68890154
